# STOCK_REPORT,csn_stock_MERGED.csv
# MARKET,amazonia,GC5GGLKUGY
owner,item,stock,buy_qty,buy_price,sell_qty,sell_price,lore,timestamp_iso
Jacob1304,Glowstone,576,64,30,64,25,,2026-07-03T13:32:36.609177+00:00
Jacob1304,Gold Ingot,2810,64,1020,64,1010,,2026-07-03T13:32:36.590110+00:00
Jacob1304,Granite,3042,64,64,64,62,,2026-07-03T13:32:36.639778+00:00
Jacob1304,Grass Block,321,64,300,64,225,,2026-07-03T13:32:36.579890+00:00
Jacob1304,Gravel,3456,64,120,64,72,,2026-07-03T13:32:36.624698+00:00
Jacob1304,Gray Concrete Powder,0,64,110,64,105,,2026-07-03T13:32:36.666274+00:00
Jacob1304,Gray Terracotta,0,64,175,64,170,,2026-07-03T13:32:36.650597+00:00
Jacob1304,Gray Wool,3184,64,485,64,450,,2026-07-03T13:32:36.658668+00:00
Jacob1304,Green Concrete Powder,3328,64,110,64,105,,2026-07-03T13:32:36.671467+00:00
Jacob1304,Green Terracotta,0,64,175,64,170,,2026-07-03T13:32:36.656738+00:00
Jacob1304,Green Wool,3412,64,485,64,450,,2026-07-03T13:32:36.661487+00:00
Jacob1304,Gunpowder,97,64,1099,64,950,,2026-07-03T13:32:36.600159+00:00
Jacob1304,Hanging Roots,2331,64,120,64,80,,2026-07-03T13:32:36.695763+00:00
Jacob1304,Hay Block,23,64,1000,64,900,,2026-07-03T13:32:36.675074+00:00
Jacob1304,Honey Block,0,64,1100,64,350,,2026-07-03T13:32:36.618348+00:00
Jacob1304,Honeycomb Block,1832,64,390,64,200,,2026-07-03T13:32:36.617636+00:00
Jacob1304,Ice,10,64,200,64,190,,2026-07-03T13:32:36.621875+00:00
Jacob1304,Ink Sac,1220,64,500,64,300,,2026-07-03T13:32:36.646542+00:00
Jacob1304,Iron Ingot,2893,64,275,64,250,,2026-07-03T13:32:36.590902+00:00
Jacob1304,Item Frame,1366,64,150,64,100,,2026-07-03T13:32:36.689645+00:00
Jacob1304,Jungle Leaves,0,64,270,64,240,,2026-07-03T13:32:36.583092+00:00
Jacob1304,Jungle Log,3264,64,230,64,225,,2026-07-03T13:32:36.583531+00:00
Jacob1304,Jungle Sapling,210,64,210,64,200,,2026-07-03T13:32:36.682919+00:00
Jacob1304,Lantern,904,64,1950,64,1500,,2026-07-03T13:32:36.642171+00:00
Jacob1304,Lapis Block,3392,64,530,64,525,,2026-07-03T13:32:36.592187+00:00
Jacob1304,Leather,2738,64,550,64,450,,2026-07-03T13:32:36.694761+00:00
Jacob1304,Light Blue Terracotta,0,64,175,64,170,,2026-07-03T13:32:36.655850+00:00
Jacob1304,Light Blue Wool,3370,64,485,64,450,,2026-07-03T13:32:36.660559+00:00
Jacob1304,Light Gray Concrete Powder,768,64,110,64,105,,2026-07-03T13:32:36.665828+00:00
Jacob1304,Light Gray Terracotta,0,64,175,64,170,,2026-07-03T13:32:36.649934+00:00
Jacob1304,Light Gray Wool,3456,64,485,64,450,,2026-07-03T13:32:36.658128+00:00
Jacob1304,Lime Concrete Powder,2600,64,110,64,105,,2026-07-03T13:32:36.672138+00:00
Jacob1304,Lime Terracotta,0,64,175,64,170,,2026-07-03T13:32:36.657180+00:00
Jacob1304,Lime Wool,3311,64,485,64,450,,2026-07-03T13:32:36.661942+00:00
Jacob1304,Lodestone,0,64,82,64,,,2026-07-03T13:32:36.631328+00:00
Jacob1304,Magenta Concrete Powder,3456,64,110,64,105,,2026-07-03T13:32:36.669371+00:00
Jacob1304,Magenta Terracotta,22,64,175,64,170,,2026-07-03T13:32:36.653978+00:00
Jacob1304,Magenta Wool,3456,64,485,64,450,,2026-07-03T13:32:36.664289+00:00
Jacob1304,Magma Block,0,64,200,64,195,,2026-07-03T13:32:36.613707+00:00
Jacob1304,Mangrove Leaves,3264,64,155,64,150,,2026-07-03T13:32:36.581972+00:00
Jacob1304,Mangrove Log,3200,64,600,64,595,,2026-07-03T13:32:36.584553+00:00
Jacob1304,Mangrove Propagule,91,64,450,64,400,,2026-07-03T13:32:36.683368+00:00
Jacob1304,Melon Slice,3456,64,60,64,55,,2026-07-03T13:32:36.676109+00:00
Jacob1304,Moss Block,0,64,150,64,110,,2026-07-03T13:32:36.631805+00:00
Jacob1304,Mossy Cobblestone,2154,64,250,64,225,,2026-07-03T13:32:36.633151+00:00
Jacob1304,Mossy Stone Bricks,0,64,250,64,225,,2026-07-03T13:32:36.633657+00:00
Jacob1304,Mud,256,64,239,64,80,,2026-07-03T13:32:36.608095+00:00
Jacob1304,Mushroom Stem,0,64,350,64,345,,2026-07-03T13:32:36.614940+00:00
Jacob1304,Mycelium,0,64,130,64,125,,2026-07-03T13:32:36.614221+00:00
Jacob1304,Name Tag,1727,64,30,64,25,,2026-07-03T13:32:36.638337+00:00
Jacob1304,Nether Bricks,3328,64,300,64,250,,2026-07-03T13:32:36.605584+00:00
Jacob1304,Nether Wart Block,0,64,80,64,75,,2026-07-03T13:32:36.611624+00:00
Jacob1304,Netherite Ingot,61,64,4050,64,3800,,2026-07-03T13:32:36.588704+00:00
Jacob1304,Netherite Scrap,192,64,925,64,900,,2026-07-03T13:32:36.587756+00:00
Jacob1304,Netherrack,3456,64,45,64,40,,2026-07-03T13:32:36.613206+00:00
Jacob1304,Oak Leaves,0,64,220,64,200,,2026-07-03T13:32:36.573182+00:00
Jacob1304,Oak Log,2940,64,220,64,215,,2026-07-03T13:32:36.574331+00:00
Jacob1304,Oak Sapling,2493,64,220,64,200,,2026-07-03T13:32:36.680620+00:00
Jacob1304,Obsidian,1728,64,800,64,750,,2026-07-03T13:32:36.603739+00:00
Jacob1304,Ochre Froglight,0,64,500,64,350,,2026-07-03T13:32:36.672616+00:00
Jacob1304,Orange Concrete Powder,2240,64,110,64,105,,2026-07-03T13:32:36.668032+00:00
Jacob1304,Orange Terracotta,0,64,175,64,170,,2026-07-03T13:32:36.652675+00:00
Jacob1304,Orange Wool,3209,64,485,64,450,,2026-07-03T13:32:36.662900+00:00
Jacob1304,Packed Ice,3456,64,600,64,575,,2026-07-03T13:32:36.621435+00:00
Jacob1304,Packed Mud,0,64,395,64,125,,2026-07-03T13:32:36.608630+00:00
Jacob1304,Pale Moss Block,0,64,200,64,120,,2026-07-03T13:32:36.638807+00:00
Jacob1304,Pale Oak Leaves,1990,64,160,64,155,,2026-07-03T13:32:36.580329+00:00
Jacob1304,Pale Oak Log,3399,64,240,64,230,,2026-07-03T13:32:36.576633+00:00
Jacob1304,Pale Oak Sapling,1983,64,200,64,150,,2026-07-03T13:32:36.677738+00:00
Jacob1304,Pearlescent Froglight,0,64,500,64,350,,2026-07-03T13:32:36.673284+00:00
Jacob1304,Phantom Membrane,0,64,190,64,120,,2026-07-03T13:32:36.596179+00:00
Jacob1304,Pink Concrete Powder,2816,64,110,64,105,,2026-07-03T13:32:36.668905+00:00
Jacob1304,Pink Terracotta,0,64,175,64,170,,2026-07-03T13:32:36.653550+00:00
Jacob1304,Pink Wool,3430,64,485,64,450,,2026-07-03T13:32:36.664737+00:00
Jacob1304,Podzol,2368,64,205,64,202,,2026-07-03T13:32:36.643267+00:00
Jacob1304,Pointed Dripstone,0,64,72,64,64,,2026-07-03T13:32:36.645629+00:00
Jacob1304,Polished Deepslate,3223,64,70,64,60,,2026-07-03T13:32:36.634136+00:00
Jacob1304,Popped Chorus Fruit,64,64,450,64,400,,2026-07-03T13:32:36.597010+00:00
Jacob1304,Potato,1745,64,38,64,35,,2026-07-03T13:32:36.690417+00:00
Jacob1304,Prismarine,1547,64,400,64,390,,2026-07-03T13:32:36.619219+00:00
Jacob1304,Prismarine Bricks,0,64,750,64,700,,2026-07-03T13:32:36.619649+00:00
