# PERIOD,csn_export_2026-05-01.csv
actor,seller,verb,quantity,item,amount_coins,timestamp_iso
VelvetyCake,Jacob1304,sold,64,Granite,-62,2026-05-29T00:03:14.339Z
VelvetyCake,Jacob1304,sold,16,Oak Log,-53.75,2026-05-29T00:03:14.339Z
VelvetyCake,Jacob1304,sold,2,Glowstone,-50,2026-05-29T00:02:14.339Z
VelvetyCake,Jacob1304,sold,26,Warped Wart Block,-26.41,2026-05-29T00:02:14.339Z
MotixDiabolic,Jacob1304,bought,128,Glass,600,2026-05-28T22:35:14.339Z
Foxy_0,Jacob1304,sold,55,Bamboo,-85.94,2026-05-28T22:34:14.339Z
Foxy_0,Jacob1304,sold,896,Bamboo,-1400,2026-05-28T22:34:15.190Z
Dominic_Graykey,Jacob1304,sold,20,Blaze Powder,-400,2026-05-28T22:20:15.190Z
FlavivsOfTheEast,Jacob1304,bought,448,Sandstone,2450,2026-05-28T22:15:15.190Z
ThousandTricks,Jacob1304,bought,192,Spruce Log,510,2026-05-28T22:03:15.190Z
ThousandTricks,Jacob1304,bought,128,Spruce Log,340,2026-05-28T21:56:15.190Z
Tea_L0ver,Jacob1304,bought,64,Oak Log,220,2026-05-28T21:49:15.190Z
Id10tplaygam,Jacob1304,sold,64,Flint,-72,2026-05-28T20:48:15.190Z
Tea_L0ver,Jacob1304,bought,256,Polished Deepslate,280,2026-05-28T20:46:15.191Z
Tea_L0ver,Jacob1304,bought,256,Deepslate Tiles,280,2026-05-28T20:46:15.191Z
Tea_L0ver,Jacob1304,bought,64,Calcite,255,2026-05-28T20:46:15.191Z
Tea_L0ver,Jacob1304,bought,128,Diorite,254,2026-05-28T20:46:16.049Z
Tea_L0ver,Jacob1304,bought,192,Granite,192,2026-05-28T20:46:16.049Z
Dominic_Graykey,Jacob1304,sold,1152,Honey Block,-6300,2026-05-28T20:46:16.049Z
FlavivsOfTheEast,Jacob1304,bought,64,Yellow Concrete Powder,110,2026-05-28T20:44:16.049Z
FlavivsOfTheEast,Jacob1304,bought,64,Orange Concrete Powder,110,2026-05-28T20:44:16.049Z
Dominic_Graykey,Jacob1304,bought,3,Shulker Box,29400,2026-05-28T20:42:16.050Z
Dominic_Graykey,Jacob1304,sold,208,Resin Clump,-276.25,2026-05-28T20:41:16.050Z
Tea_L0ver,Jacob1304,bought,512,Sandstone,2800,2026-05-28T20:41:16.050Z
Dominic_Graykey,Jacob1304,sold,18,Resin Block,-450,2026-05-28T20:41:16.050Z
Tea_L0ver,Jacob1304,bought,64,Quartz Block,600,2026-05-28T20:39:16.050Z
Tea_L0ver,Jacob1304,bought,128,Pale Oak Log,480,2026-05-28T20:39:16.845Z
Tea_L0ver,Jacob1304,bought,64,Terracotta,185,2026-05-28T20:38:16.846Z
Tea_L0ver,Jacob1304,bought,50,Packed Mud,308.59,2026-05-28T20:37:16.846Z
Tea_L0ver,Jacob1304,bought,384,Packed Mud,2370,2026-05-28T20:37:16.846Z
Tea_L0ver,Jacob1304,sold,320,Spruce Log,-825,2026-05-28T20:37:16.857Z
Tea_L0ver,Jacob1304,bought,64,Spruce Log,170,2026-05-28T20:37:16.858Z
MotixDiabolic,Jacob1304,bought,512,Glass,2400,2026-05-28T19:59:16.858Z
Moonmaster1000,Jacob1304,sold,24,Jungle Log,-84.38,2026-05-28T18:54:16.858Z
Moonmaster1000,Jacob1304,sold,320,Jungle Log,-1125,2026-05-28T18:54:16.858Z
Sofrita2005,Jacob1304,bought,10,Gold Ingot,1020,2026-05-28T18:34:16.859Z
Giraffecat77,Jacob1304,bought,21,Sculk Catalyst,20790,2026-05-28T18:32:17.741Z
BeLuz10,Jacob1304,bought,40,Iron Ingot,1100,2026-05-28T18:14:17.741Z
BeLuz10,Jacob1304,bought,64,Experience Bottle,475,2026-05-28T18:14:17.741Z
Sofrita2005,Jacob1304,bought,10,Gunpowder,1099,2026-05-28T17:45:17.741Z
Sofrita2005,Jacob1304,bought,20,Diamond,1020,2026-05-28T17:45:17.742Z
StonecutterChair,Jacob1304,bought,30,Item Frame,450,2026-05-28T17:37:17.742Z
Jguy123,Jacob1304,bought,64,Baked Potato,64,2026-05-28T17:14:17.742Z
TheWeirdManS,Jacob1304,bought,39,Smooth Sandstone,182.81,2026-05-28T17:14:17.742Z
CopingPlains522,Jacob1304,bought,256,Experience Bottle,1900,2026-05-28T17:11:17.742Z
BeLuz10,Jacob1304,bought,64,Obsidian,800,2026-05-28T17:11:17.742Z
BeLuz10,Jacob1304,bought,10,Blaze Powder,310,2026-05-28T17:06:18.543Z
BeLuz10,Jacob1304,bought,256,Cobbled Deepslate,240,2026-05-28T16:55:18.544Z
F3lixFoox,Jacob1304,bought,1498,Sugar Cane,1872.5,2026-05-28T16:54:18.544Z
Diwky,Jacob1304,sold,22,Copper Block,-220,2026-05-28T16:43:18.544Z
Diwky,Jacob1304,sold,51,Acacia Log,-195.23,2026-05-28T16:43:18.544Z
Diwky,Jacob1304,sold,64,Acacia Log,-245,2026-05-28T16:43:18.544Z
gk2yt,Jacob1304,sold,45,Cobbled Deepslate,-28.13,2026-05-28T16:26:18.544Z
gk2yt,Jacob1304,sold,41,Dark Oak Sapling,-115.31,2026-05-28T16:26:18.544Z
gk2yt,Jacob1304,sold,320,Dark Oak Sapling,-900,2026-05-28T16:26:18.544Z
gk2yt,Jacob1304,sold,62,Grass Block,-217.97,2026-05-28T16:21:18.544Z
gk2yt,Jacob1304,sold,128,Oak Sapling,-400,2026-05-28T16:21:19.411Z
gk2yt,Jacob1304,sold,37,Birch Sapling,-115.63,2026-05-28T16:21:19.411Z
gk2yt,Jacob1304,sold,64,Dark Oak Sapling,-180,2026-05-28T16:21:19.412Z
Diwky,Jacob1304,sold,3,Clay,-11.95,2026-05-28T15:36:19.412Z
Diwky,Jacob1304,sold,21,Sandstone,-98.44,2026-05-28T15:35:19.413Z
Diwky,Jacob1304,sold,39,Smooth Sandstone,-170.63,2026-05-28T15:35:19.413Z
Budgegarus_,Jacob1304,bought,128,Grass Block,600,2026-05-28T15:07:19.413Z
Diwky,Jacob1304,sold,64,Copper Block,-640,2026-05-28T15:05:19.413Z
Diwky,Jacob1304,sold,64,Lapis Block,-525,2026-05-28T15:04:19.413Z
Diwky,Jacob1304,sold,3,Netherite Scrap,-2700,2026-05-28T15:04:19.414Z
Diwky,Jacob1304,sold,128,Redstone Block,-2450,2026-05-28T14:58:20.210Z
Diwky,Jacob1304,bought,3,Netherite Scrap,2850,2026-05-28T14:57:20.212Z
Diwky,Jacob1304,sold,704,Bamboo,-1100,2026-05-28T14:44:20.212Z
Diwky,Jacob1304,sold,118,Torch,-118,2026-05-28T14:18:20.212Z
Diwky,Jacob1304,sold,29,Oak Sapling,-90.63,2026-05-28T14:17:20.212Z
Diwky,Jacob1304,sold,11,Acacia Sapling,-48.13,2026-05-28T14:17:20.213Z
RealBjornV2012,Jacob1304,bought,40,Iron Ingot,1100,2026-05-28T14:17:20.213Z
Diwky,Jacob1304,sold,46,Amethyst Block,-179.69,2026-05-28T14:17:20.213Z
Diwky,Jacob1304,sold,16,Egg,-20,2026-05-28T14:14:20.213Z
Diwky,Jacob1304,sold,1,Diamond,-40,2026-05-28T14:11:20.213Z
Diwky,Jacob1304,sold,40,Oak Log,-134.38,2026-05-28T14:11:20.986Z
Fun1x,Jacob1304,bought,10,Iron Ingot,275,2026-05-28T13:27:20.987Z
l0adinguy,Jacob1304,bought,896,Experience Bottle,6650,2026-05-28T13:18:20.987Z
l0adinguy,Jacob1304,bought,18,Experience Bottle,133.59,2026-05-28T13:18:20.987Z
Mertilizm,Jacob1304,bought,1,Sponge,2500,2026-05-28T12:57:20.987Z
Yasuosu,Jacob1304,sold,3456,Sand,-4860,2026-05-28T11:57:20.987Z
Mertilizm,Jacob1304,bought,64,Orange Wool,485,2026-05-28T10:48:20.987Z
Mertilizm,Jacob1304,bought,64,Redstone Block,1250,2026-05-28T10:48:20.987Z
Mertilizm,Jacob1304,bought,320,Cobbled Deepslate,300,2026-05-28T10:47:20.987Z
Mertilizm,Jacob1304,bought,512,Spruce Log,1360,2026-05-28T10:46:21.840Z
Mertilizm,Jacob1304,bought,128,Dark Oak Log,340,2026-05-28T10:45:21.840Z
Mertilizm,Jacob1304,bought,60,Iron Ingot,1650,2026-05-28T10:45:21.840Z
Mertilizm,Jacob1304,bought,64,Calcite,255,2026-05-28T10:44:21.840Z
Ravengames4526,Jacob1304,bought,1,Honey Block,9.38,2026-05-28T10:18:21.841Z
Budgegarus_,Jacob1304,sold,1,Honey Block,-5.47,2026-05-28T07:47:21.841Z
Budgegarus_,Jacob1304,bought,192,Grass Block,900,2026-05-28T07:47:21.841Z
Flordiaman_1969,Jacob1304,bought,1,Sponge,2500,2026-05-28T05:41:21.841Z
zarrolo,Jacob1304,bought,384,Magma Block,1200,2026-05-28T03:55:21.841Z
Rexjopeck,Jacob1304,bought,128,Light Gray Wool,970,2026-05-28T03:43:21.841Z
Rexjopeck,Jacob1304,bought,64,Gray Wool,485,2026-05-28T03:39:22.636Z
Rexjopeck,Jacob1304,bought,128,Stone Bricks,240,2026-05-28T03:29:22.636Z
Rexjopeck,Jacob1304,bought,320,Stone,600,2026-05-28T03:29:22.636Z
Sofrita2005,Jacob1304,bought,1,Dragon Breath,90,2026-05-28T03:24:22.636Z
DragonSentinel,Jacob1304,bought,32,Resin Brick,250,2026-05-28T03:11:22.636Z
Tea_L0ver,Jacob1304,bought,256,Sandstone,1400,2026-05-28T01:56:22.636Z
Tea_L0ver,Jacob1304,bought,64,Tuff,150,2026-05-28T01:55:22.636Z
deepdragooner,Jacob1304,bought,64,Apple,1408,2026-05-28T01:45:22.637Z
LavaaX,Jacob1304,sold,330,Gunpowder,-29700,2026-05-27T23:30:22.637Z
PVT_PYLE5h13t,Jacob1304,sold,51,Shroomlight,-2703,2026-05-27T22:59:22.637Z
PVT_PYLE5h13t,Jacob1304,sold,6,Glowstone,-150,2026-05-27T22:59:23.487Z
